anime_id;Name;Score;Genres;Type;Premiered;Status;Studios
31463;Maemilggot, Unsu Joeun Nal, Geurigo Bombom;UNKNOWN;Drama, Slice of Life;Movie;;Finished Airing;Studio Meditation With a Pencil
31464;Pichiko Dakyuubu;UNKNOWN;Comedy, Sports;TV;;Finished Airing;DLE
31465;Pichiko Dakyuubu USA-hen;UNKNOWN;Comedy, Sports;Special;;Finished Airing;DLE
31467;Grendizer Giga;5.44;Action;ONA;;Finished Airing;UNKNOWN
31471;MILPOM★;5.04;Comedy;ONA;;Finished Airing;Bandai Namco Pictures
31476;Wake up!! Tamala;5.19;Fantasy;Movie;;Finished Airing;UNKNOWN
31478;Bungou Stray Dogs;7.82;Action, Mystery, Supernatural;TV;2016.4;Finished Airing;Bones
31483;Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page;7.71;Drama, Fantasy, Romance;OVA;;Finished Airing;Bones
31485;Aikatsu Stars! Movie;7.37;Slice of Life;Movie;;Finished Airing;Bandai Namco Pictures
31486;Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes;7.13;Comedy, Mystery;Movie;;Finished Airing;J.C.Staff
31490;One Piece Film: Gold;7.9;Action, Adventure, Fantasy;Movie;;Finished Airing;Toei Animation
31491;Hantsu x Trash;5.13;Comedy, Romance, Sports, Ecchi;OVA;;Finished Airing;Hoods Entertainment
31493;Lord of Vermilion III Special Anime Movie;5.56;Action, Adventure, Fantasy;Special;;Finished Airing;Seven Arcs Pictures
31494;Mini-Chara Macross;5.24;Comedy;Special;;Finished Airing;UNKNOWN
31498;Pan de Peace!;5.64;Comedy, Gourmet, Slice of Life;TV;2016.4;Finished Airing;Asahi Production
31499;Huyao Xiao Hongniang;7.16;Comedy, Romance, Supernatural;ONA;;Finished Airing;Haoliners Animation League, Garden Culture
31500;High School Fleet;7.3;Action;TV;2016.4;Finished Airing;Production IMS
31501;Master Blaster;4.27;Avant Garde;Music;;Finished Airing;UNKNOWN
31505;Go! Samurai;5.53;Action;ONA;;Finished Airing;UNKNOWN
31506;Kappa no Ude;5.34;Fantasy;Movie;;Finished Airing;UNKNOWN
31507;Ari Ningen Monogatari;4.62;Fantasy;Movie;;Finished Airing;UNKNOWN
31508;Shinya Doubutsuen;UNKNOWN;UNKNOWN;Movie;;Finished Airing;UNKNOWN
31509;Ichi-gan Kuni;UNKNOWN;UNKNOWN;Movie;;Finished Airing;UNKNOWN
31510;Guitar;5.16;UNKNOWN;Movie;;Finished Airing;UNKNOWN
31511;Holiday;UNKNOWN;UNKNOWN;Movie;;Finished Airing;UNKNOWN
31512;Love & Gift;4.81;Slice of Life;ONA;;Finished Airing;UNKNOWN
31513;Aoki Seimei Hoken;4.69;Comedy;Special;;Finished Airing;UNKNOWN
31517;Ohayou Ninja-tai Gatchaman;5.52;Comedy;TV;2011.4;Finished Airing;UNKNOWN
31518;Honoo no Haramase Motto! Hatsuiku! Karada Sokutei 2;6.49;Hentai;OVA;;Finished Airing;Office Takeout
31519;Anitore! EX;5.4;Comedy, Sports;TV;2015.2;Finished Airing;Rising Force
31521;Ushinawareta Mirai wo Motomete: Ushinawareta Natsuyasumi wo Motomete;6.72;Romance;Special;;Finished Airing;feel.
31530;Classroom☆Crisis: Tabi no Haji wa Uwanuri;6.38;Sci-Fi;Special;;Finished Airing;Lay-duce
31534;Larva;5.89;Comedy;TV;2011.4;Finished Airing;TUBA
31537;Manaria Friends;6.66;Fantasy, Slice of Life;TV;2019.3;Finished Airing;CygamesPictures
31539;Kyoufu! Zombie Neko;5.7;Comedy;TV;2015.2;Finished Airing;Kachidoki Studio
31540;Sekkou Boys;6.25;Comedy;TV;2016.3;Finished Airing;LIDENFILMS
31547;Ryouma 30 Seconds;UNKNOWN;UNKNOWN;TV;2009.1;Finished Airing;UNKNOWN
31549;Peeping Life TV: Season 1??;5.59;Comedy, Slice of Life;TV;2015.2;Finished Airing;Tatsunoko Production, CoMix Wave Films, FOREST Hunting One
31551;Yurumates 3D Plus: Natsuyasumi Maison du Wish Report;6.04;Comedy, Slice of Life;OVA;;Finished Airing;UNKNOWN
31552;Durarara!!x2 Ten: Onoroke Chakapoko;7.53;Action, Mystery, Supernatural;Special;;Finished Airing;Shuka
31553;Charlotte: Tsuyoimono-tachi;7.49;Drama;Special;;Finished Airing;P.A. Works
31555;Doushitemo Eto ni Hairitai;UNKNOWN;Comedy;TV;2015.2;Finished Airing;Pollyanna Graphics
31559;Prince of Stride: Alternative;6.9;Sports;TV;2016.3;Finished Airing;Madhouse
31560;Miss Monochrome The Animation 3;6.52;Comedy, Slice of Life;TV;2015.2;Finished Airing;SANZIGEN, LIDENFILMS
31561;Gangsta. Recap;6.45;Action, Drama;Special;;Finished Airing;Manglobe
31562;Neko no Dayan: Nihon e Iku;UNKNOWN;Fantasy;TV;2015.2;Finished Airing;Kachidoki Studio
31563;Ano Hi, Bokura wa Senjou de: Shounenhei no Kokuhaku;UNKNOWN;UNKNOWN;Special;;Finished Airing;EMT Squared
31564;Sansha Sanyou;7.1;Comedy, Slice of Life;TV;2016.4;Finished Airing;Doga Kobo
31566;Ketsuekigata-kun! 3;6.25;Comedy;TV;2015.2;Finished Airing;feel., Zexcs, Assez Finaud Fabric
31568;Wake Up;5.23;UNKNOWN;Music;;Finished Airing;UNKNOWN
31573;Brave Beats;6.4;Adventure;TV;2015.2;Finished Airing;Bandai Namco Pictures
31575;Offside;UNKNOWN;Action, Drama, Sports;OVA;;Finished Airing;UNKNOWN
31578;JK Meshi!;4.58;Comedy, Gourmet;TV;2015.2;Finished Airing;Kyotoma, Office Nobu
31580;Ajin;7.4;Action, Horror, Mystery, Supernatural;TV;2016.3;Finished Airing;Polygon Pictures
31581;Tsuritama: Harikitte Contest;5.89;Comedy, Sci-Fi, Slice of Life, Sports;Special;;Finished Airing;UNKNOWN
31582;Mimizu Monogatari;4.84;Avant Garde;Movie;;Finished Airing;UNKNOWN
31583;Haruko no Bouken;5.11;Avant Garde;Movie;;Finished Airing;UNKNOWN
31584;Henkei Sakuhin Dai 1-ban;4.86;Avant Garde;Movie;;Finished Airing;UNKNOWN
31585;Henkei Sakuhin Dai 2-ban;5.24;Avant Garde;Movie;;Finished Airing;UNKNOWN
31586;Mochibei;2.99;Avant Garde;Movie;;Finished Airing;UNKNOWN
